Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
loopM/50/sf,0.2466605301205893,0.24252656639012257,0.24986329067984947,5.324379877167142e-3,3.084894704569028e-3,7.206244889509729e-3
loopM/100/allIO,0.3774736060271493,0.37377563939484315,0.38177891791881535,5.009468208122626e-3,3.3305692585962475e-3,6.4498328497876786e-3
loopM/100/preIO,0.34399802835705096,0.33747735350152264,0.34950044208135816,8.555137397523133e-3,4.736854647925571e-3,1.2579318440391372e-2
loopM/100/sf-strict,0.3097742686885578,0.30505198412309775,0.3149421795896645,6.400914956468593e-3,3.98457099016433e-3,9.064773904981805e-3
loopM/100/sf,0.45734550698455817,0.45191656387004286,0.46780349454178405,9.20372611928655e-3,3.9087330853774215e-3,1.3211070410215874e-2
loopM/150/allIO,0.5063545104280901,0.49615213192251284,0.5297044927200432,2.035625250226074e-2,3.8081913084606796e-3,3.134520639473515e-2
loopM/150/preIO,0.47507324843060184,0.46750965914258946,0.48034660504712673,8.78741473929787e-3,2.8293421678119834e-3,1.2033746278454403e-2
loopM/150/sf-strict,0.4460510134535519,0.4378958922976987,0.4627314837329322,1.4098138572700494e-2,5.8653268454386415e-3,2.0122286734031502e-2
loopM/150/sf,0.6624483841209811,0.6493878117443256,0.6738273439187484,1.3354643952501645e-2,6.542338143787516e-3,2.0466986161453843e-2
loopM/200/allIO,0.662354461112029,0.6502321809905515,0.6843879883933498,1.8426209173149122e-2,4.097595563913675e-3,2.4663541020229246e-2
loopM/200/preIO,0.621394911698286,0.6064615365566126,0.6330281863537042,1.5416002415697667e-2,3.71917024394533e-3,1.921707421936395e-2
loopM/200/sf-strict,0.5828544920640853,0.5735797709430811,0.5899443396665447,9.277952636751982e-3,4.889732731094999e-3,1.3981196768838109e-2
loopM/200/sf,0.8619164489610234,0.8514682480555268,0.8734115319447381,1.240503268059131e-2,5.1817635297915585e-3,1.4543005362468145e-2
loopM/250/allIO,0.789796264866709,0.7682562232217202,0.8026359959006489,1.8081260626690923e-2,2.0302713395737443e-3,3.0592641148160182e-2
loopM/250/preIO,0.7452892149470952,0.7240523292912258,0.7565560779191501,1.7208191270147936e-2,5.984242104511107e-3,2.5722829414413624e-2
loopM/250/sf-strict,0.7270519482469758,0.710581043526468,0.7375211596332519,1.419399907733509e-2,5.785768779397363e-3,2.117580820090231e-2
loopM/250/sf,1.0765751990637,1.0680485389340901,1.0984488270798465,1.6017398407871856e-2,1.5689048525741097e-3,2.142971229394456e-2
loopM/300/allIO,0.9354131092500312,0.916968937332725,0.9503038150003703,1.899726656273485e-2,9.095797182942757e-3,2.8081250364666868e-2
loopM/300/preIO,0.8906449639389898,0.8767923620501582,0.9053054147778615,1.5718650943539646e-2,8.036754238371276e-3,2.085654478369534e-2
loopM/300/sf-strict,0.8502941055946294,0.8416233866114958,0.8587096487777267,8.256655461765688e-3,3.4484468334891223e-3,1.2486991805556602e-2
loopM/300/sf,1.303334333042961,1.2821831657599252,1.3285387275592075,2.1051260725868458e-2,4.995005164909569e-3,3.17374835791147e-2
loopDloopM/50/allIO,0.7476230609138433,0.742020426400389,0.7561561214856738,7.353367764933108e-3,2.9768010886108446e-3,1.0518142732725761e-2
loopDloopM/50/preIO,0.230294788895233,0.2244931693745956,0.23566521923483852,7.057282185273295e-3,4.580740934544944e-3,9.19410326282569e-3
loopDloopM/50/sf-strict,0.28792194421992295,0.2830181591472133,0.2915166370487415,5.875194790672505e-3,3.8924310922533044e-3,7.750102031979243e-3
loopDloopM/50/sf,0.2767024542442115,0.27061540729019495,0.28590112909333193,1.1748686922933016e-2,4.859828536119758e-3,1.869072277916854e-2
loopDloopM/100/allIO,1.4686019980001674,1.4593495753749721,1.4772928042502826,1.0077109727458702e-2,8.120075000533689e-3,1.0694302337119424e-2
loopDloopM/100/preIO,0.4190831401157706,0.4138821344952461,0.42651626791815,8.135790483895724e-3,5.517943509331309e-3,9.95860413871456e-3
loopDloopM/100/sf-strict,0.5810259776487099,0.5683501027265482,0.5903491912191211,1.26813450207909e-2,5.6136484906162435e-3,2.0027832231021583e-2
loopDloopM/100/sf,0.4778640872641198,0.47151856387591806,0.48445843619664886,8.16848467077416e-3,4.042040926324237e-3,1.2200217955805984e-2
loopDloopM/150/allIO,2.143046273605023,2.104684071500742,2.158647062626642,2.610683611033143e-2,2.1284816684783436e-3,3.35707200362863e-2
loopDloopM/150/preIO,0.594139492852342,0.587148143160188,0.6090335358741348,1.315535227041071e-2,4.280652641383109e-3,1.9342883771868352e-2
loopDloopM/150/sf-strict,0.8632356048223503,0.8485407391557803,0.884529598972727,1.9496988167128713e-2,9.209894281430533e-3,2.8420670295554354e-2
loopDloopM/150/sf,0.7114036351820959,0.7021251990100689,0.7231757425240738,1.2338808060208931e-2,6.013323705101252e-3,1.718267265626889e-2
loopDloopM/200/allIO,2.922173532791779,2.8984722871250597,2.96766031000152,3.194012506142667e-2,0.0,4.0948086910115984e-2
loopDloopM/200/preIO,0.8001653217385662,0.7898615547221906,0.8163528452771263,1.5138400785327745e-2,9.515982429024513e-4,1.8219694665859126e-2
loopDloopM/200/sf-strict,1.1477191984067878,1.1279946121998363,1.1658871424807875,1.9516067128910526e-2,6.845278440473787e-3,2.475173710616154e-2
loopDloopM/200/sf,0.92583063298592,0.9049105053739166,0.9453617700276785,2.1399902945058016e-2,1.1460760574346389e-2,3.167734643444844e-2
loopDloopM/250/allIO,3.6073930625830144,3.5742056892495384,3.652987249333819,3.602543393139762e-2,5.377448501349136e-3,5.047436654377068e-2
loopDloopM/250/preIO,0.9654770009401424,0.9514428425997418,0.9936454660000891,1.8150706850061208e-2,6.893349913133635e-3,2.5226717725495198e-2
loopDloopM/250/sf-strict,1.417468404103829,1.4076474989371945,1.4344774029996188,1.2474526175043733e-2,1.050149875027273e-3,1.57934044892907e-2
loopDloopM/250/sf,1.1341098809368124,1.1181825270866104,1.1564270337203926,1.927126368218538e-2,7.756016107650079e-3,2.7617903111527953e-2
loopDloopM/300/allIO,4.277099237896285,4.256186121333788,4.2986469873126225,2.1790241481662104e-2,6.817434375079756e-3,2.648281618872222e-2
loopDloopM/300/preIO,1.1612335493463253,1.1461345119204633,1.1882731307985523,2.0439352831720613e-2,5.548320778400305e-3,2.885034012705295e-2
loopDloopM/300/sf-strict,1.6952603238538206,1.6731879804376604,1.725626226998429,2.3975364149160613e-2,6.669072458104552e-3,3.287481103295352e-2
loopDloopM/300/sf,1.299819920480004,1.2800544364794768,1.3258857726801945,2.4601450797604826e-2,6.824261957471361e-3,3.251332012220103e-2
